Filename,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric
Spyware-TIBS-87163ea3765848c449bf0ff0549bacf6a38706b9004b2262e20b822fb5f4e852-1.raw,39,14,11.128205128205128,0,220.02564102564102,1569,40.23076923076923,8581,220.02564102564102,0,646,2990,42,660,805,99,640,120,175,259,47,85,47,0.02910216718266254,0.05263157894736842,0.02910216718266254,3,3,18,1.0,3,0,3,3,7,5,9,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.16666666666666666,0.11904761904761904,0.21428571428571427,138,389,221,26,24,116,0,123,87,0,8
Spyware-TIBS-570dbd214653ec1c9b7ff1f2c119060a7cacc28549706ece5f233ebdc05b1518-10.raw,38,14,9.631578947368421,0,198.10526315789474,1446,38.05263157894737,7528,198.10526315789474,0,617,2589,40,617,623,94,525,109,128,227,41,78,41,0.02759084791386272,0.052489905787348586,0.02759084791386272,2,2,12,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.10526315789473684,0.05263157894736842,0.13157894736842105,138,389,221,26,24,116,0,118,88,0,8
Spyware-TIBS-8217ae4fbd1555e6e06a5d3f18231377941f07d100b5ad62a8b31b9f1b64703e-5.raw,45,18,9.311111111111112,0,203.35555555555555,1763,39.17777777777778,9151,203.35555555555555,0,674,3111,48,816,758,111,665,134,229,282,49,93,49,0.027161862527716185,0.05155210643015521,0.027161862527716185,3,3,18,1.0,4,0,4,4,8,6,10,0.08163265306122448,0.0,0.08163265306122448,0.08163265306122448,0.16326530612244897,0.12244897959183673,0.20408163265306123,138,389,221,26,24,116,0,122,86,0,8
Spyware-TIBS-574cbd37cab3adfdd1b55051c52471c180bc4b5e69e7e018d8f7039b644ed0fd-5.raw,35,14,10.285714285714286,0,192.77142857142857,1280,36.57142857142857,6748,198.47058823529412,0,969,2004,35,463,592,86,462,98,98,210,38,71,38,0.028875379939209727,0.053951367781155016,0.028875379939209727,60,18558,360,15.0,0,0,1,0,5,2,6,0.0,0.0,0.02857142857142857,0.0,0.14285714285714285,0.05714285714285714,0.17142857142857143,137,385,220,26,23,114,0,115,88,0,8
Spyware-TIBS-98f79b05b432de9dd246e9fec02ce0e37acbfbe0798d10c621c0b397e05ea470-8.raw,34,13,11.0,0,203.94117647058823,1325,38.970588235294116,6934,203.94117647058823,0,586,2292,35,521,625,85,515,103,106,213,39,73,39,0.028613352898019074,0.05355832721936904,0.028613352898019074,2,2,12,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.11764705882352941,0.058823529411764705,0.14705882352941177,138,389,221,26,24,116,0,118,88,0,8
Spyware-TIBS-7651d72f90c1aaecc18a032dd6140ec4def8a836e7efcfc83b9a3389345dcb10-1.raw,42,16,10.476190476190476,0,208.04761904761904,1623,38.642857142857146,8738,208.04761904761904,0,663,3040,45,684,813,105,650,120,175,262,49,90,49,0.029323758228605626,0.05385996409335727,0.029323758228605626,4,4,24,1.0,2,0,2,2,6,4,8,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.09090909090909091,0.18181818181818182,138,389,221,26,24,116,0,122,86,0,8
Spyware-TIBS-589f74cdc865423cfb901a43f8fddab707b0e509a1053e15379dc61562f8659f-3.raw,32,13,10.6875,0,185.5,1178,36.8125,5936,185.5,0,553,1881,33,436,560,81,406,92,88,189,37,68,37,0.030477759472817133,0.05601317957166392,0.030477759472817133,2,2,12,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.125,0.0625,0.15625,137,385,220,26,23,114,0,115,88,0,8
Spyware-TIBS-979db6d35d22f609cbdd3515bea40d29c89bf89364999c4218ab5dfffd7fc11a-6.raw,37,14,10.162162162162161,0,196.97297297297297,1381,37.32432432432432,7289,202.47222222222223,0,1003,2153,37,537,633,90,506,102,116,218,47,82,47,0.03295932678821879,0.05750350631136045,0.03295932678821879,62,18505,372,12.4,0,0,1,0,5,2,6,0.0,0.0,0.02702702702702703,0.0,0.13513513513513514,0.05405405405405406,0.16216216216216217,137,378,219,26,21,110,0,116,88,0,8
Spyware-TIBS-7651d72f90c1aaecc18a032dd6140ec4def8a836e7efcfc83b9a3389345dcb10-5.raw,43,17,9.325581395348838,0,197.97674418604652,1617,37.604651162790695,8513,197.97674418604652,0,663,2971,46,693,713,107,616,123,176,265,47,89,47,0.028381642512077296,0.05374396135265701,0.028381642512077296,4,4,24,1.0,3,0,3,3,7,5,9,0.06521739130434782,0.0,0.06521739130434782,0.06521739130434782,0.15217391304347827,0.10869565217391304,0.1956521739130435,138,389,221,26,24,116,0,122,86,0,8
Spyware-TIBS-1421d1a140f3875addfe2378e53f749e8c6023bb0ec3fbe33943218ec09f6b33-9.raw,36,14,10.277777777777779,0,211.13888888888889,1402,38.94444444444444,7601,211.13888888888889,0,614,2691,39,630,628,89,521,110,140,222,41,78,41,0.028432732316227463,0.05409153952843273,0.028432732316227463,3,3,18,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,0.1388888888888889,138,389,221,26,24,116,0,120,88,0,8
Spyware-TIBS-7651d72f90c1aaecc18a032dd6140ec4def8a836e7efcfc83b9a3389345dcb10-2.raw,44,17,9.840909090909092,0,200.8181818181818,1675,38.06818181818182,8836,200.8181818181818,0,668,3082,47,698,792,109,653,126,181,270,49,92,49,0.028438769587928032,0.053395240858966915,0.028438769587928032,4,4,24,1.0,2,0,2,2,6,4,8,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.08695652173913043,0.17391304347826086,138,389,221,26,24,116,0,122,86,0,8
Spyware-TIBS-4754c35288a9488036c211c68f36f86496240000164edd36f9eaaeed12e65dbf-8.raw,39,14,10.435897435897436,0,201.46153846153845,1466,37.58974358974359,7858,206.78947368421052,0,826,2527,40,624,697,94,551,112,137,236,48,85,48,0.031746031746031744,0.056216931216931214,0.031746031746031744,62,18505,372,12.4,0,0,1,0,5,2,7,0.0,0.0,0.02564102564102564,0.0,0.1282051282051282,0.05128205128205128,0.1794871794871795,138,389,221,26,24,116,0,119,88,0,8
